2017-09-22 16:15:53 startup packages purge
2017-09-22 16:15:56 status half-configured grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status half-installed grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 purge grub-common:amd64 2.02~beta2-36ubuntu3.12 <none>
2017-09-22 16:15:56 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:56 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:57 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:57 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:57 status config-files grub-common:amd64 2.02~beta2-36ubuntu3.12
2017-09-22 16:15:57 status not-installed grub-common:amd64 <none>
2017-09-22 16:15:57 trigproc man-db:amd64 2.7.5-1 <none>
2017-09-22 16:15:57 status half-configured man-db:amd64 2.7.5-1
2017-09-22 16:15:57 status installed man-db:amd64 2.7.5-1
2017-09-22 16:15:57 trigproc install-info:amd64 6.1.0.dfsg.1-5 <none>
2017-09-22 16:15:57 status half-configured install-info:amd64 6.1.0.dfsg.1-5
2017-09-22 16:15:57 status installed install-info:amd64 6.1.0.dfsg.1-5
2017-09-22 16:15:57 startup packages configure
2018-01-25 14:11:17 startup archives unpack
2018-01-25 14:11:31 upgrade libc6:amd64 2.23-0ubuntu9 2.23-0ubuntu10
2018-01-25 14:11:31 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:11:32 status half-configured libc6:amd64 2.23-0ubuntu9
2018-01-25 14:11:32 status unpacked libc6:amd64 2.23-0ubuntu9
2018-01-25 14:11:32 status half-installed libc6:amd64 2.23-0ubuntu9
2018-01-25 14:11:57 status half-installed libc6:amd64 2.23-0ubuntu9
2018-01-25 14:11:59 status unpacked libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:00 status unpacked libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:00 startup packages configure
2018-01-25 14:12:00 configure libc6:amd64 2.23-0ubuntu10 <none>
2018-01-25 14:12:00 status unpacked libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:01 status unpacked libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:01 status half-configured libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:05 status installed libc6:amd64 2.23-0ubuntu10
2018-01-25 14:12:05 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-01-25 14:12:05 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:14 status installed libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:14 startup archives unpack
2018-01-25 14:12:15 install libmpc3:amd64 <none> 1.0.3-1
2018-01-25 14:12:15 status half-installed libmpc3:amd64 1.0.3-1
2018-01-25 14:12:16 status unpacked libmpc3:amd64 1.0.3-1
2018-01-25 14:12:16 status unpacked libmpc3:amd64 1.0.3-1
2018-01-25 14:12:17 upgrade gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:17 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:17 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:17 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:18 status half-installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:18 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:18 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:19 startup packages configure
2018-01-25 14:12:19 configure gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5 <none>
2018-01-25 14:12:19 status unpacked gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:19 status half-configured gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:19 status installed gcc-5-base:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:20 startup archives unpack
2018-01-25 14:12:21 upgrade libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:21 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:21 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:22 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:23 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:24 status half-installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.4
2018-01-25 14:12:24 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:24 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:24 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-01-25 14:12:24 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:25 status installed libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:26 startup packages configure
2018-01-25 14:12:26 configure libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5 <none>
2018-01-25 14:12:26 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:26 status unpacked libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:26 status half-configured libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:26 status installed libstdc++6:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:12:26 trigproc libc-bin:amd64 2.23-0ubuntu9 <none>
2018-01-25 14:12:26 status half-configured libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:27 status installed libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:27 startup archives unpack
2018-01-25 14:12:29 install bc:amd64 <none> 1.06.95-9build1
2018-01-25 14:12:29 status half-installed bc:amd64 1.06.95-9build1
2018-01-25 14:12:29 status triggers-pending man-db:amd64 2.7.5-1
2018-01-25 14:12:30 status triggers-pending install-info:amd64 6.1.0.dfsg.1-5
2018-01-25 14:12:30 status unpacked bc:amd64 1.06.95-9build1
2018-01-25 14:12:31 status unpacked bc:amd64 1.06.95-9build1
2018-01-25 14:12:32 install binutils:amd64 <none> 2.26.1-1ubuntu1~16.04.6
2018-01-25 14:12:32 status triggers-pending libc-bin:amd64 2.23-0ubuntu9
2018-01-25 14:12:32 status half-installed binutils:amd64 2.26.1-1ubuntu1~16.04.6
2018-01-25 14:12:49 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.6
2018-01-25 14:12:49 status unpacked binutils:amd64 2.26.1-1ubuntu1~16.04.6
2018-01-25 14:12:50 install libc-dev-bin:amd64 <none> 2.23-0ubuntu10
2018-01-25 14:12:50 status half-installed libc-dev-bin:amd64 2.23-0ubuntu10
2018-01-25 14:12:53 status unpacked libc-dev-bin:amd64 2.23-0ubuntu10
2018-01-25 14:12:53 status unpacked libc-dev-bin:amd64 2.23-0ubuntu10
2018-01-25 14:12:54 install linux-libc-dev:amd64 <none> 4.4.0-112.135
2018-01-25 14:12:54 status half-installed linux-libc-dev:amd64 4.4.0-112.135
2018-01-25 14:13:46 status unpacked linux-libc-dev:amd64 4.4.0-112.135
2018-01-25 14:13:46 status unpacked linux-libc-dev:amd64 4.4.0-112.135
2018-01-25 14:13:47 install libc6-dev:amd64 <none> 2.23-0ubuntu10
2018-01-25 14:13:47 status half-installed libc6-dev:amd64 2.23-0ubuntu10
2018-01-25 14:14:22 status unpacked libc6-dev:amd64 2.23-0ubuntu10
2018-01-25 14:14:22 status unpacked libc6-dev:amd64 2.23-0ubuntu10
2018-01-25 14:14:23 install libisl15:amd64 <none> 0.16.1-1
2018-01-25 14:14:23 status half-installed libisl15:amd64 0.16.1-1
2018-01-25 14:14:24 status unpacked libisl15:amd64 0.16.1-1
2018-01-25 14:14:24 status unpacked libisl15:amd64 0.16.1-1
2018-01-25 14:14:25 install cpp-5:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:25 status half-installed cpp-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:28 status unpacked cpp-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:28 status unpacked cpp-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:29 install cpp:amd64 <none> 4:5.3.1-1ubuntu1
2018-01-25 14:14:29 status half-installed cpp:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:14:30 status unpacked cpp:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:14:31 status unpacked cpp:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:14:32 install libcc1-0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:32 status half-installed libcc1-0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:32 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:33 status unpacked libcc1-0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:34 install libgomp1:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:34 status half-installed libgomp1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:34 status unpacked libgomp1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:34 status unpacked libgomp1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:36 install libitm1:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:36 status half-installed libitm1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:36 status unpacked libitm1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:36 status unpacked libitm1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:38 install libatomic1:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:38 status half-installed libatomic1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:39 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:39 status unpacked libatomic1:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:40 install libasan2:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:40 status half-installed libasan2:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:41 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:41 status unpacked libasan2:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:42 install liblsan0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:42 status half-installed liblsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:43 status unpacked liblsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:43 status unpacked liblsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:44 install libtsan0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:44 status half-installed libtsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:45 status unpacked libtsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:45 status unpacked libtsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:46 install libubsan0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:46 status half-installed libubsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:47 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:47 status unpacked libubsan0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:48 install libcilkrts5:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:48 status half-installed libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:49 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:49 status unpacked libcilkrts5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:50 install libmpx0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:50 status half-installed libmpx0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:51 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:51 status unpacked libmpx0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:52 install libquadmath0:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:52 status half-installed libquadmath0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:53 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:53 status unpacked libquadmath0:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:54 install libgcc-5-dev:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:14:54 status half-installed libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:09 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:09 status unpacked libgcc-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:10 install gcc-5:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:10 status half-installed gcc-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:15 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:15 status unpacked gcc-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:16 install gcc:amd64 <none> 4:5.3.1-1ubuntu1
2018-01-25 14:15:16 status half-installed gcc:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:15:18 status unpacked gcc:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:15:18 status unpacked gcc:amd64 4:5.3.1-1ubuntu1
2018-01-25 14:15:19 install libstdc++-5-dev:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:19 status half-installed libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:55 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:55 status unpacked libstdc++-5-dev:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:56 install g++-5:amd64 <none> 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:56 status half-installed g++-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:58 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:59 status unpacked g++-5:amd64 5.4.0-6ubuntu1~16.04.5
2018-01-25 14:15:59 install g++:amd64 <none> 4:5.3.1-1ubuntu1
